179.99;91.5;88.93;209.25;36.51;119.89
178.05;108.4;83.65;207.66;36.5;119.71
178.05;92.19;76.75;210.29;20.63;119.49
176.02;131.62;36.06;208.79;2.48;121.96
176;115.26;47.32;209.5;2.5;124
176;117.02;46.12;210.12;2.5;124.04
176.01;66.59;125.48;213.19;55.79;115.7
175.96;65;144.51;201.4;80.95;118.74
175.95;61.48;156.59;188.5;89.77;139.58
209.48;127.49;57.96;185.92;17.73;145.79
209.13;127.51;48.75;188.78;6.17;150.23
208.78;132.64;30.85;194.62;2.61;207.81
208.78;119.19;57.73;184.33;4.42;157.29
208.78;128.93;55.05;184.31;8.86;156.51
208.78;109.1;88.78;184.44;30.35;168.3
208.79;92.53;88.52;191.41;34.31;234.15
215.57;85.71;84.56;192.01;17.58;163.81
215.56;87.25;100.68;187.75;34.34;184.44
215.56;87.88;106.17;170.67;31.36;164.14
215.56;106.95;99.46;178.72;37.5;179.92
136.08;96.93;107.62;245.69;42.51;68.48
136.08;109.46;89.92;230.75;40.17;52.56
136.1;90.76;93.99;229.86;42.07;56.44
136.1;122.86;64.85;238.35;17.8;86.1
136.1;138.01;37.1;235.46;4.26;82.92
125.86;144.77;34.39;243.01;0.1;77.85
127.3;78.5;110.8;238.85;26.95;59.79
127.29;90.5;108.69;244.43;45.86;61.29
127.29;91.51;56.86;216.6;6.74;68.06
127.3;112.36;72.46;231.98;24.01;68.07
127.3;122.45;72.44;231.9;30.22;68.76
178.53;96.73;70.72;211.32;17.57;130.11
175.22;95.08;73.5;221.73;22.83;136.63
184.68;97.24;73.51;188.67;22.8;112.35
